study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Zhang2017		CYP3A4_1G_1G	3.0	RAP5	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP5_CYP3A4_1G_1G	0.0	hr							mole/meter^3	ng/ml
Zhang2017		CYP3A4_1G_1G	3.0	RAP5	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP5_CYP3A4_1G_1G	0.5	hr		3.7139348490346837e-06		2.1250829635188415e-06			mole/meter^3	ng/ml
Zhang2017		CYP3A4_1G_1G	3.0	RAP5	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP5_CYP3A4_1G_1G	1.0	hr		7.478517457851351e-06		4.2491082771865006e-07			mole/meter^3	ng/ml
Zhang2017		CYP3A4_1G_1G	3.0	RAP5	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP5_CYP3A4_1G_1G	1.5	hr							mole/meter^3	ng/ml
Zhang2017		CYP3A4_1G_1G	3.0	RAP5	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP5_CYP3A4_1G_1G	2.0	hr		9.684795386869822e-06		1.3558867698151517e-06			mole/meter^3	ng/ml
Zhang2017		CYP3A4_1G_1G	3.0	RAP5	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP5_CYP3A4_1G_1G	2.5	hr							mole/meter^3	ng/ml
Zhang2017		CYP3A4_1G_1G	3.0	RAP5	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP5_CYP3A4_1G_1G	3.0	hr		9.199578178212697e-06		7.690741571823964e-07			mole/meter^3	ng/ml
Zhang2017		CYP3A4_1G_1G	3.0	RAP5	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP5_CYP3A4_1G_1G	4.0	hr		7.581048475156882e-06		9.309352632560682e-07			mole/meter^3	ng/ml
Zhang2017		CYP3A4_1G_1G	3.0	RAP5	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP5_CYP3A4_1G_1G	6.0	hr		7.237983474384752e-06		9.714107094845947e-07			mole/meter^3	ng/ml
Zhang2017		CYP3A4_1G_1G	3.0	RAP5	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP5_CYP3A4_1G_1G	8.0	hr		5.579425792345149e-06		2.0844854807690216e-06			mole/meter^3	ng/ml
Zhang2017		CYP3A4_1G_1G	3.0	RAP5	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP5_CYP3A4_1G_1G	12.0	hr		5.500468163069199e-06		1.963018463243018e-06			mole/meter^3	ng/ml
Zhang2017		CYP3A4_1G_1G	3.0	RAP5	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP5_CYP3A4_1G_1G	24.0	hr		3.6444147107386585e-06		1.315452002427049e-06			mole/meter^3	ng/ml
Zhang2017		CYP3A4_1G_1G	3.0	RAP5	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP5_CYP3A4_1G_1G	48.0	hr		2.583449534045927e-06		5.059837566969845e-07			mole/meter^3	ng/ml
Zhang2017		CYP3A4_1G_1G	3.0	RAP5	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP5_CYP3A4_1G_1G	72.0	hr		1.7653777135647681e-06		4.047544622852551e-07			mole/meter^3	ng/ml
Zhang2017		CYP3A4_1G_1G	3.0	RAP5	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP5_CYP3A4_1G_1G	96.0	hr		1.4329705689854937e-06					mole/meter^3	ng/ml
Zhang2017		CYP3A4_1G_1G	3.0	RAP5	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP5_CYP3A4_1G_1G	120.0	hr		1.0398909339038532e-06					mole/meter^3	ng/ml
Zhang2017		CYP3A4_1G_1G	3.0	RAP5	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP5_CYP3A4_1G_1G	144.0	hr		1.1122789304502359e-06					mole/meter^3	ng/ml
